PropertyName,BHK,Location,Area,ListingPrice,FurnishStatus,City,Description
Sushant CHS Pashan,2,Pashan,650,28000.0,Semi-Furnished,Pune,"Secure a comfortable and affordable living space in Pashan, Pune, with this semi-furnished two-bedroom, two-bathroom Flats available for rent at 28 thousand per month.Situated on the seventh floor of Sushant CHS Pashan, this 650 square feet residence offers convenient city living within a well-established community. You will appreciate the inclusion of essential amenities such as kids' play areas for family"
K Raheja Reserve,3,Mohammadwadi,1100,40000.0,Semi-Furnished,Pune,"Looking for a well-equipped place to call home in Pune Mohammadwadi.This semi-furnished, three-bedroom, three-bathroom Flats in Kanifnath Royal KP Stellar is ready for you to move in. Spread across 1030 square feet, its perfect for a growing family or those who appreciate extra space. Youll have access to fantastic amenities like a gym, swimming pool, dedicated kids` play areas, and"
Runwal The Central Park,3,Chinchwad,1195,55000.0,Unfurnished,Pune,"Seeking a spacious and secure rental home in Pune sought-after Chinchwad area. This unfurnished 3-bedroom, 3-bathroom Flats in Runwal The Central Park offers a generous 1195 square feet of living space, perfect for families.Located on the 30th floor, you`ll enjoy a peaceful garden view.This gated society boasts an impressive array of amenities, including a gymnasium, swimming pool, badminton and tennis courts,"
Triaa Kosmic Kourtyard,2,Wagholi,740,22000.0,Unfurnished,Pune,"For those looking for a comfortable and affordable place to live in Pune, this unfurnished two-bedroom, two-bathroom Flats in Wagholi is now available for rent at 22 thousand per month.Located in the Triaa Kosmic Kourtyard project, this 740 square feet home offers a great lifestyle with access to a gymnasium, swimming pool, badminton court, tennis court, kids` play areas, jogging"
Eden Park,2,Viman Nagar,900,50000.0,Semi-Furnished,Pune,"A conveniently located rental is now available in Pune Viman Nagar, offering a comfortable lifestyle within the Eden Park project.This furnished 2-bedroom, 2-bathroom Flats spans 900 square feet and includes one dedicated parking spot, making your daily commute and errands a breeze. You`ll find everything you need for a comfortable life right here, with amenities like kids` play areas, a"
Namo Vihar,2,Hadapsar,1300,17000.0,Unfurnished,Pune,"For those seeking a bright new beginning in Pune Hadapsar, an unfurnished two-bedroom, two-bathroom Flats in Namo Vihar is ready for you to make it your own.Spanning a generous 1300 square feet, this home offers ample space for comfortable living. Enjoy the convenience of one dedicated parking spot and the peace of mind that comes with 24/7 security and CCTV"
Vrindavan CHS Kharadi,1,Kharadi,428,27000.0,Furnished,Pune,"Discover your ideal home in Pune vibrant Kharadi neighborhood with this beautiful 1-bedroom, 2-bathroom Flats available for rent at Vrindavan CHS Kharadi.Priced at just 27 thousand per month, this 428 square feet furnished apartment is located on the 4th floor of a 6-story building and offers a fantastic lifestyle with an extensive list of amenities. You will have access to"
Mantri Lavendula,2,Chandani Chowk,1751,35000.0,Semi-Furnished,Pune,"Experience a convenient lifestyle in Pune Chandani Chowk area with this furnished two-bedroom, two-bathroom Flats available for rent.Located on the fourth floor of the six-story Mantri Lavendula building, this 1751 square feet residence offers a pleasant road view. The apartment comes with one dedicated parking space and is ready for you to move in. You will appreciate the building well-maintained"
Sayli Complex Prabhat Road,3,Prabhat Road,1350,750000.0,Furnished,Pune,"Find your next home in Pune desirable Prabhat Road neighborhood at Sayli Complex.This furnished 3-bedroom, 3-bathroom Flats on the 3rd floor offers a comfortable 1350 Square Feet of living space with a pleasant road view. You will appreciate the convenience of 2 parking spots, and the property is between 8-10 years old, well-maintained within a 6-story building. This apartment is"
Duville Riverdale Residences,3,Santipur,1203,60000.0,Furnished,Pune,"Consider this lovely 3-bedroom, 3-bathroom Flats in Pune Santipur area for rent, boasting a generous 1203 square feet of living space with a beautiful pool view from the 12th floor of the Duville Riverdale Residences.This furnished home offers two dedicated parking spots and is situated in a peaceful vicinity within a gated society, making it perfect for families or professionals"
Adani Group Western Heights,3,Bhudargarh Colony,1100,155000.0,Furnished,Mumbai,"What will your mornings look like with a view of the city from your balcony and a cup of coffee in hand at this furnished 3-bedroom, 3-bathroom Flats in Mumbai Bhudargarh Colony.Located in the prestigious Adani Group Western Heights, this 1100 square feet home on the 11th floor offers a luxurious lifestyle with access to an impressive array of amenities"
Runwal Nirvana,3,Dhabholkar Wadi,1006,170000.0,Semi-Furnished,Mumbai,"Embrace a lifestyle of comfort and convenience in this semi-furnished three-bedroom, three-bathroom Flats located in the peaceful vicinity of Dhabholkar Wadi, Mumbai.Priced at 1.7 Lac per month, this spacious 1006 square feet home is situated on the 5th floor of the prestigious Runwal Nirvana project, offering a serene garden view. Designed for those who appreciate luxury and a prime location,"
Godrej Nest Kandivali,1,Kandivali East,428,40000.0,Semi-Furnished,Mumbai,"Experience a life of elevated living in Kandivali East, Mumbai, with this appealing semi-furnished one-bedroom Flats on the 38th floor of Godrej Nest Kandivali.Priced at 40,000 per month, this 428 square feet home offers a fantastic lifestyle with a wealth of amenities including a gymnasium, swimming pool, badminton and tennis courts, squash court, kids` play areas, and a jogging/cycle track."
Hilton Tower,1,Andheri East,550,42000.0,Furnished,Mumbai,"Finding a well-equipped, furnished one-bedroom Flats for rent at 42 thousand per month in Mumbai Andheri East could be exactly what you're looking for.This third-floor unit in Hilton Tower offers a comfortable 550 square feet of living space with a lovely park view, making it ideal for families or bachelors alike. You'll appreciate the convenience of an attached market, dedicated"
Dheeraj Gaurav Heights,3,Jogeshwari West,1630,100000.0,Unfurnished,Mumbai,"Consider making Jogeshwari West your next home with this unfurnished 3-bedroom, 3-bathroom Flats in Dheeraj Gaurav Heights, available for rent at 1 Lac.This spacious 1630 square feet residence is located on a higher floor, offering a peaceful garden view and the convenience of 1 dedicated parking spot. Being part of a gated society, this home provides a safe and secure"
Supreme 19,2,Lokhandwala,623,100000.0,Furnished,Mumbai,"Embrace a vibrant city lifestyle in this fully renovated two-bedroom Flats located in the sought-after Lokhandwala area of Mumbai, available for rent at 1 Lac.Situated on the 12th floor of the Supreme 19 building, this furnished home offers 623 square feet of comfortable living space with a pleasant road view. Residents will enjoy access to a range of premium amenities,"
Bhavani Tower,1,Powai,550,50000.0,Furnished,Mumbai,"Looking for a well-equipped place to call home in Mumbai sought-after Powai neighborhood.This furnished one-bedroom Flats in Bhavani Tower, located on the third floor of a twelve-story building, offers 550 square feet of comfortable living space for 50 thousand per month. You will appreciate the convenience of two bathrooms, ensuring no morning rush. While there isn`t dedicated parking, the building"
DB Realty Orchid Ozone,2,Ketkipada,882,32000.0,Furnished,Mumbai,"If you're looking for a furnished two-bedroom Flats for rent in Mumbai Ketkipada area, this property at DB Realty Orchid Ozone might be exactly what you need.Located on the 18th floor of a 21-story building, this apartment offers 882 square feet of living space with a community view and comes furnished for your convenience. You'll have access to a great"
Royal Palms,1,Goregaon East,390,20000.0,Furnished,Mumbai,"Consider a rental opportunity in Goregaon East, Mumbai, where this furnished 1 RK Flats at Royal Palms is ready for you to move in.Located on the second floor of a 12-story building, this 390 square foot home offers a delightful beach view and includes one bathroom. For your convenience, there is one dedicated parking space. The building boasts an impressive"
Accel  Belvedere,1,Sadan Wadi,450,30000.0,Semi-Furnished,Mumbai,"A welcoming 1-bedroom Flats in Mumbai Sadan Wadi awaits, offering a comfortable and secure living experience for families and individuals alike.Located on the 16th floor of the Accel Belvedere project, this semi-furnished apartment boasts 450 square feet of well-designed space with a pleasant road view. You will have access to a wide range of amenities designed for an active and"
Kaveri Tower Andheri West,1,Andheri West,480,55000.0,Unfurnished,Mumbai,"A breezy, unfurnished 1-bedroom, 2-bathroom Flats in Kaveri Tower Andheri West, Mumbai, is available for rent at 55,000 per month, offering a comfortable 480 square feet of living space on the 5th floor of a 21-story building.This home features a convenient road view and comes with dedicated parking, ensuring ease for residents. The building boasts a range of modern amenities"
The Prestige City,3,Mulund West,1441,130000.0,Semi-Furnished,Mumbai,"Consider a vibrant urban lifestyle in Mumbai Mulund West with this semi-furnished, 3-bedroom, 2-bathroom Flats in The Prestige City, available for rent at 1.3 Lac.Spanning a generous 1441 square feet, this home offers ample space for comfortable living and includes the convenience of two dedicated parking spots. Residents will enjoy access to a wide array of amenities designed for an"
GHP Woodland Heights,1,Chandivali,700,40000.0,Unfurnished,Mumbai,"A delightful garden view is just one of the many appealing features of this unfurnished one-bedroom, two-bathroom Flats for rent in Mumbai Chandivali neighborhood.Spanning 700 square feet on the fourth floor of the eight-story GHP Woodland Heights, this residence offers a comfortable living space with a dedicated parking spot. The building provides essential amenities like 24 x 7 security, CCTV"
Magnum Tower CHS,2,Andheri West,950,95000.0,Unfurnished,Mumbai,"Looking for a spacious Flats to rent in the bustling Andheri West area of Mumbai.This unfurnished, 2-bedroom, 2-bathroom unit in Magnum Tower CHS offers a generous 950 square feet of living space, perfect for settling into a comfortable lifestyle. With a dedicated parking spot, you'll have convenience right at your doorstep, and the building provides essential amenities like a gymnasium"
Vrindavan CHS Worli,1,Siddharth Nagar,300,50000.0,Semi-Furnished,Mumbai,"Finding a comfortable place to call home in Mumbai Siddharth Nagar area for a monthly rent of 50 thousand is now within reach.This semi-furnished, one-bedroom, two-bathroom Flats in Vrindavan CHS Worli offers 300 square feet of living space, ideal for individuals or small families. Situated on the first floor of a seven-story building, you`ll appreciate the convenience of a road"
Jay Le Jardin,2,Chembur,732,80000.0,Furnished,Mumbai,"Consider a delightful living experience in Mumbai Chembur, where a furnished two-bedroom, two-bathroom Flats awaits you on the fourth floor of Jay Le Jardin. This residence spans 732 square feet and offers a pleasant road view from its position on the fourth floor of a 13-story building.You will appreciate the convenience of having your own dedicated parking space, and the propertys"
Bhagyawan Apartment Bhandup,2,Bhandup East,650,40000.0,Semi-Furnished,Mumbai,"Consider a comfortable 2-bedroom, 2-bathroom Flats in Mumbai Bhandup East that is available for rent at 40,000.This 650 square foot semi-furnished home offers a community view and comes with one dedicated parking space. Located in the well-regarded Bhagyawan Flats Bhandup project, this residence is Vastu compliant and situated in a safe and secure locality, making it an affordable choice for"
Kabra Metro One,4,Andheri West,1528,200000.0,Furnished,Mumbai,"Secure a new Flats in Andheri West, Mumbai, at Kabra Metro One with this four-bedroom furnished unit on the 25th floor, available for 2 Lac per month. This spacious 1528 square feet home boasts tasteful interiors and excellent ventilation, perfect for a comfortable lifestyle.The building offers a wide array of amenities, including a gymnasium, swimming pool, badminton and tennis courts, squash"
Haware Intelligentia Axis,1,Borivali East,393,28000.0,Semi-Furnished,Mumbai,"For those looking for a comfortable and convenient home in Mumbai Borivali East, this semi-furnished one-bedroom, one-bathroom Flats is now available for rent at 2.8 Lac.Situated on the 6th floor of the Haware Intelligentia Axis, a 22-story building constructed within the last year, this property offers a pleasant road view. The apartment spans 393 square feet and includes one dedicated"
Hiranandani Verona Co op Housing Society Ltd,3,Powai,1050,160000.0,Furnished,Mumbai,"Here is a great option for your family in Mumbai desirable Powai area, this furnished 3-bedroom, 3-bathroom Flats in Hiranandani Verona Co op Housing Society Ltd offers a wonderful living experience.Located on the 13th floor with lovely garden views, this spacious 1050 square feet apartment provides comfortable living space for everyone. You will appreciate the convenience of 2 parking spots"
Godrej Central,3,Chembur,1150,100000.0,Unfurnished,Mumbai,"Life in Chembur, Mumbai, can be remarkably convenient with this unfurnished three-bedroom, three-bathroom Flats available for rent at 1 Lac per month in the Godrej Central project.This spacious home offers 1150 square feet of living space on the sixth floor of a fifteen-story building, and you'll have the luxury of two dedicated parking spots. The property boasts a community view"
Modispaces Volga,2,Borivali West,689,54000.0,Semi-Furnished,Mumbai,"Embrace a life of ease in this welcoming two-bedroom Flats located in the sought-after Borivali West area of Mumbai. This semi-furnished home, situated on the 14th floor of the 20-story Modispaces Volga building, offers a generous 689 square feet of living space with a pleasant road view.You will find it incredibly convenient with one dedicated parking spot.Residents can enjoy access to"
Lodha Evoq,3,Wadala,1664,350000.0,Furnished,Mumbai,"This fully furnished 3-bedroom, 3-bathroom Flats on the 34th floor of Lodha Evoq in Wadala, Mumbai, offers a generous 1664 Square Feet of living space with a stunning sea view. You will enjoy ample natural light and excellent ventilation throughout this Vastu-compliant home, which boasts plenty of space for comfortable living.Residents have access to a wealth of amenities, including a gymnasium,"
Raheja Vistas Phase 3,1,Mohammadwadi,600,20000.0,Semi-Furnished,Pune,"Discover a modern living experience in this exquisite semifurnished 1bedroom Flats located on the 17th floor of the prestigious Raheja Vistas Phase 3 in Mohammadwadi, Pune.With a spacious area of 600 square feet, this home offers an inviting ambiance complemented by a stunning beach view that adds a touch of tranquility to your everyday life. The apartment features two wellappointed"
Pinnacle Kalpataru,3,Erandwane,1750,60000.0,Furnished,Pune,"Discover the perfect blend of comfort and convenience in this stunning 3bedroom Flats available for rent in the soughtafter locality of Erandwane, Pune.Nestled within the modern Pinnacle Kalpataru project, this wellmaintained residence spans an impressive 1,750 square feet, offering ample space for families and individuals alike. The apartment is located on the fifth floor of a fivestory building, providing a"
GK Arise,1,Jambhe,465,17500.0,Semi-Furnished,Pune,"Consider a life where convenience meets comfort in Pune Jambhe locality, with this 1-bedroom, 2-bathroom Flats at GK Arise.Priced at 17,500 for rent, this semi-furnished home spans 465 square feet and is situated on the 7th floor of a 14-story building, offering a pleasant garden view. Being part of a reputed builder project within a gated society means you'll enjoy"
Nanded Kalashree,2,State Bank Nagar,647,20000.0,Unfurnished,Pune,"Step into a serene lifestyle with this inviting  Flats available for rent in the peaceful vicinity of State Bank Nagar, Pune.Spanning an area of 647 square feet, this unfurnished gem is located on the 12th floor of the wellregarded Nanded Kalashree project, offering stunning garden views that enhance your living experience. With a monthly rent of just 20 thousand,"
Siddhi Heights Rahatani,2,Rahatani,1000,23000.0,Unfurnished,Pune,"Start your new chapter in Rahatani, Pune, with this unfurnished 2-bedroom, 2-bathroom Flats at Siddhi Heights Rahatani, available for rent at 23 thousand.Spanning 1000 square feet, this first-floor home offers a peaceful garden view and comes with one dedicated parking space. Its property age of 5-7 years means youll be moving into a relatively new and well-maintained building. This apartment"
Legacy Aeon,3,Baner,1250,48000.0,Semi-Furnished,Pune,"This 1250 square feet, 3-bedroom, 3-bathroom Flats in Pune Baner locality offers a comfortable living experience with a garden view from the 7th floor of the 12-story Legacy Aeon project.Available for a monthly rent of 48 thousand, this semi-furnished home comes with one dedicated parking space and boasts a wide array of amenities including a gymnasium, swimming pool, badminton court,"
Goyal Classics,2,Vishrantwadi,1500,27000.0,Furnished,Pune,"This furnished 2-bedroom, 2-bathroom Flats in Pune Vishrantwadi offers a wonderful living experience for families and bachelors alike, available for rent at 27 thousand.Located on the second floor of Goyal Classics, this home spans 1500 square feet and provides a pleasant road view. You will find conveniences like built-in wardrobes and a walk-in closet, along with amenities such as kids'"
Supreme Palms 2,3,Balewadi,1700,48000.0,Semi-Furnished,Pune,"Find your next home in Pune desirable Balewadi area with this semi-furnished three-bedroom, three-bathroom Flats available for rent at 48 thousand per month.This spacious 1700 square feet residence on the ninth floor of Supreme Palms 2 offers a comfortable lifestyle with access to excellent amenities including a gymnasium, swimming pool, kids` play areas, and a clubhouse. You will appreciate the"
Tulshibaugwale Colony,3,Sahakar Nagar,1500,50000.0,Unfurnished,Pune,"This unfurnished three-bedroom, three-bathroom Flats in Pune Sahakar Nagar offers a generous 1500 square feet of living space on the fifth floor of a five-story building within Tulshibaugwale Colony.It boasts a community view and includes one dedicated parking spot, with a property age between two to four years. Residents will appreciate the wide array of amenities designed for convenience and"
Subah Co-Op Housing Society,2,Pradhikaran,900,35000.0,Furnished,Pune,"Looking for a comfortable and convenient place to call home in Pune Pradhikaran.This furnished, two-bedroom, two-bathroom Flats in Subah Co-Op Housing Society is available for rent at 35 thousand per month. Spanning 900 square feet, this seventh-floor residence in a nine-story building offers a pleasant living experience. You'll appreciate the included amenities like kids' play areas, power backup, 24/7 security"
Mantra Mesmer,3,Keshav Nagar,1039,35000.0,Semi-Furnished,Pune,"If you are looking for a comfortable home in a fantastic location, this semi-furnished 2-bedroom Flats in Pune Keshav Nagar might be just the place.It offers 750 square feet of living space with a road view, perfect for enjoying the bustling city life. You will have three bathrooms, which is always a plus for families, and one dedicated parking spot"
Wadhwani Om Mangalam Chaitanya,2,Ravet,673,18000.0,Semi-Furnished,Pune,"If you are looking for a comfortable and well-equipped place to rent in Ravet, Pune, this two-bedroom Flats at Wadhwani Om Mangalam Chaitanya offers just that for 18,000 per month. Located on the 14th floor with a lovely garden view, this semi-furnished apartment spans 673 square feet and comes with one designated parking spot.As part of a gated society, you will"
Majestique Signature Tower Phase 2,2,Dasar,750,40000.0,Semi-Furnished,Pune,"Looking for a modern Flats in Pune Dasar area.This semi-furnished, 2-bedroom, 2-bathroom unit in Majestique Signature Tower Phase 2 offers 750 square feet of living space, perfect for comfortable city living. The apartment comes with two dedicated parking spots, adding to its convenience. Situated in a building thats less than a year old, it represents a fresh opportunity to enjoy"
Rahul New Ajantha Avenue,3,Kothrud,1400,48000.0,Semi-Furnished,Pune,"If you're looking for a spacious and comfortable place to call home in Pune Kothrud area, this three-bedroom, three-bathroom Flats at Rahul New Ajantha Avenue might be just what you need.Spread across 1400 square feet and located on the fifth floor of a thirteen-story building, this semi-furnished apartment offers a pleasant garden view and comes with the convenience of three"
Kolte Patil Life Republic,2,Hinjewadi,750,21000.0,Semi-Furnished,Pune,"Seeking a vibrant and secure place to call home in Pune.This semi-furnished two-bedroom, two-bathroom Flats on the 13th floor of Kolte Patil Life Republic in Hinjewadi is now available for rent at 21 thousand, offering a delightful garden view from its 750 square feet of living space. Its a Vastu-compliant home designed for a luxury lifestyle, perfect for families or"
Riviera Society,1,Wanwadi,500,18000.0,Unfurnished,Pune,"Consider Riviera Society in Pune Wanwadi area, where a 1-bedroom, 2-bathroom unfurnished Flats is available for rent at 18 thousand per month.This residence, located on the first floor of a five-story building, offers a pleasant garden view and comes with the added convenience of a balcony and a dedicated parking space. Spread across 500 square feet, the apartment benefits from"
Karia Konark Residency,2,Koregaon Park,1000,39000.0,Unfurnished,Pune,"Here a lovely 2-bedroom, 2-bathroom unfurnished Flats available for rent in Pune sought-after Koregaon Park, located on the 3rd floor of the Karia Konark Residency project. This apartment, spanning 1000 square feet, overlooks a serene garden and offers a peaceful living environment within a gated society.You`ll appreciate the convenience of an intercom system and a dedicated parking spot.With a property age"
Rohan Garima Phase II,3,Model Colony,2000,60000.0,Unfurnished,Pune,"Live your daily life in Pune established Model Colony at Rohan Garima Phase II, a well-located Flats complex offering a convenient lifestyle.This unfurnished 3-bedroom, 3-bathroom apartment on the 1st floor presents a comfortable living space with a road view and a generous 2000 square feet of area. You will have plenty of room to make this space your own. The"
Gita Society,2,Camp,1200,36000.0,Unfurnished,Pune,"Begin your new journey in Pune well-known Camp area with this unfurnished 2-bedroom, 2-bathroom Flats in Gita Society. Only selected client, Located on the second floor of a four-story building, this home offers a comfortable living space of 1000 square feet and a pleasant community view. With 10 years or more of property age, it stands as a testament to enduring"
Arvind Elan,2,Kothrud,1000,30000.0,Unfurnished,Pune,"Imagine a home that perfectly blends convenience and lifestyle in Pune Kothrud area, with this unfurnished two-bedroom, two-bathroom Flats in the Arvind Elan project. Priced at 30 thousand per month, this 1000 square feet residence on the fifth floor offers a bright living space with a road view and benefits from its prime location adjoining a Metro Station, making commuting a"
Goodwill Nirmiti,1,Lohgaon,530,24000.0,Furnished,Pune,"Looking for a comfortable and well-maintained place to call home in Pune Lohgaon area.This furnished 1.5-bedroom, 1-bathroom Flats in Goodwill Nirmiti spans 530 square feet and is available for rent at 24 thousand per month. It offers a peaceful garden view and comes with 1 parking space. The property is Vastu compliant and is ideal for families or females only."
Mittal Brothers Whistling Palms,2,Wakad,850,26000.0,Semi-Furnished,Pune,"Live in a well-maintained, semi-furnished two-bedroom, two-bathroom Flats in Pune Wakad neighborhood for 26 thousand per month.This 850 square feet home is located on the 5th floor of the Mittal Brothers Whistling Palms project, which has a total of 250 floors, and comes with one dedicated parking spot. It situated in a safe and secure gated society, making it an"
Wadhwa Imperial Heights,2,Goregaon West,1100,115000.0,Semi-Furnished,Mumbai,"Experience a refined way of living in Mumbai Goregaon West at Wadhwa Imperial Heights, where this semi-furnished 2.5-bedroom, 3-bathroom Flats awaits on the 26th floor. For a monthly rent of 1.14 Lac, you will enjoy 1100 square feet of space with a peaceful park view, perfect for families and bachelors seeking a secure and luxurious lifestyle.The building boasts an impressive array"
Piramal Mahalaxmi,2,Mahalaxmi,740,165000.0,Semi-Furnished,Mumbai,"Experience unparalleled luxury living in Mahalaxmi, Mumbai, with this stunning 2-bedroom, 2-bathroom Flats available for rent at 1.65 lakh.Spanning 740 square feet on the 42nd floor of Piramal Mahalaxmi, this semi-furnished residence boasts breathtaking sea views and a host of premium amenities designed for comfort and convenience. You will enjoy access to a fully equipped gymnasium, swimming pool, badminton and"
Sunteck City Avenue 4,2,Goregaon West,655,72000.0,Semi-Furnished,Mumbai,"Seeking a comfortable and well-equipped home in Mumbai Goregaon West.Look no further than this 2-bedroom, 2-bathroom Flats in Sunteck City Avenue 4, available for rent at 72,000 per month. Situated on the 10th floor of a 39-story building, this semi-furnished 655 square feet apartment offers a pleasant road view and comes with dedicated parking for one vehicle. You will find"
Acme Amay,2,Goregaon East,650,60000.0,Semi-Furnished,Mumbai,"Finding a comfortable living space in Mumbai Goregaon East is now simpler with this well-located 2-bedroom, 2-bathroom Flats at Acme Amay, available for rent at 60,000.This semi-furnished 650 square feet apartment on the 6th floor offers a pleasant community view and includes essential amenities to make your daily life easier. You`ll have access to features like kids` play areas for"
Sheth Auris Bliss,2,Malad West,586,80000.0,Semi-Furnished,Mumbai,"A comfortable lifestyle awaits you in this semi-furnished 2-bedroom, 2-bathroom Flats located on the 25th floor of Sheth Auris Bliss in Mumbai Malad West, available for rent at 80 thousand per month.Spanning 586 square feet, this home boasts a pleasant garden view and includes one dedicated parking space. Residents will enjoy access to an impressive array of amenities such as"
New Saket Apartment,3,Santacruz West,1131,190000.0,Unfurnished,Mumbai,"For those aiming for an elevated living experience in Mumbai sought-after Santacruz West, this unfurnished three-bedroom, three-bathroom Flats in New Saket Flats presents a compelling rental prospect.Spanning 1131 square feet on the fourth floor, this residence offers ample space for comfort and personalization, complemented by the convenience of one dedicated parking spot. The building, which is less than a year"
Runwal The Orchard Residency,3,Ghatkopar West,960,90000.0,Furnished,Mumbai,"Secure a comfortable and luxurious lifestyle in Mumbai Ghatkopar West with this fully furnished 3-bedroom, 3-bathroom Flats available for rent at 90 thousand.Situated in the prestigious Runwal The Orchard Residency project, this 960 square feet home is located on the 12th floor of a 14-story building, offering a serene garden view and the peace of mind that comes with a"
JP Decks,2,Goregaon East,850,76000.0,Semi-Furnished,Mumbai,"Consider a life of ease and comfort in this semi-furnished 2-bedroom, 2-bathroom Flats available for rent in Goregaon East, Mumbai. Located on the 12th floor of the prestigious JP Decks project, this home offers a peaceful vicinity with a road view and spans 850 square feet of well-designed living space.The property is Vastu compliant, promoting harmony and positive energy, and comes"
Samartha Deep,2,Andheri West,1025,120000.0,Furnished,Mumbai,"Samartha Deep - Experience a truly convenient lifestyle in Mumbai bustling Andheri West with this well-appointed 2-bedroom, 2-bathroom Flats available for rentPriced at 1.2 Lac per month, this furnished residence offers 1025 Square Feet of comfortable living space, situated on the middle floor of a 21-story building, providing a pleasant community view. You will appreciate the range of amenities designed"
Lodha World One,4,Worli,2619,650000.0,Furnished,Mumbai,"Live the high life in Mumbai prestigious Worli with this fully furnished 4-bedroom, 5-bathroom Flats in Lodha World One, available for rent at 6.5 Lac.Occupying a generous 2619 square feet on the 40th floor, this home offers stunning beach views and a Vastu-compliant layout, promising a lifestyle of luxury and tranquility. Enjoy access to a wealth of amenities, including a"
